variant,fold_id,station_id,season_or_regime,horizon,actual_event,model_brier,persistence_brier,global_climatology_brier,seasonal_or_regime_climatology_brier
A_p90_exclude_summer,147,Valencia Centro,autumn,7,0,0.0038282778203174144,0.0,0.009409830260825681,0.005419850201362491
A_p90_exclude_summer,147,Viveros,autumn,7,0,0.09643778966796207,0.0,0.009649917888591632,0.008557533581901158
A_p90_exclude_summer,148,Avda. Francia,autumn,7,0,0.07882755735306649,0.0,0.00841804552812546,0.006817607945459137
A_p90_exclude_summer,148,Bulevard Sud,autumn,7,0,0.23637706598514882,0.0,0.009741175738250047,0.006916300828228052
A_p90_exclude_summer,148,Moli del Sol,autumn,7,0,0.026038238711652832,0.0,0.008334038449217658,0.004381626231633776
A_p90_exclude_summer,148,Pista Silla,autumn,7,0,0.013776693508776108,0.0,0.008342963863046766,0.008858131487889272
A_p90_exclude_summer,148,Politecnico,autumn,7,0,0.0930928316011488,0.0,0.008981019751093135,0.011120661157024793
A_p90_exclude_summer,148,Valencia Centro,autumn,7,0,0.004788410059955382,0.0,0.010056576973411217,0.006782006920415225
A_p90_exclude_summer,148,Viveros,autumn,7,0,0.11580386135807817,0.0,0.009620163727146554,0.008447772491349483
A_p90_exclude_summer,149,Avda. Francia,autumn,7,0,0.07984033645233192,0.0,0.008374613635435247,0.006673975386854831
A_p90_exclude_summer,149,Moli del Sol,autumn,7,0,0.03474250961521213,0.0,0.008301460918394225,0.0043100071604391926
A_p90_exclude_summer,149,Pista Silla,autumn,7,0,0.012872575252887744,0.0,0.008312303305150013,0.008726971118954565
A_p90_exclude_summer,149,Politecnico,autumn,7,0,0.09804435500941143,0.0,0.008952237744528814,0.010980465119315452
A_p90_exclude_summer,149,Valencia Centro,autumn,7,0,0.0053334309815872135,0.0,0.009860628881607903,0.006256184365922948
A_p90_exclude_summer,150,Avda. Francia,autumn,7,0,0.10591452394612719,0.0,0.0083315170001337,0.006534834522571623
A_p90_exclude_summer,150,Moli del Sol,autumn,7,0,0.062364483360487534,0.0,0.008269074031928322,0.004240129799891833
A_p90_exclude_summer,150,Pista Silla,autumn,7,0,0.024077102977365924,0.0,0.010036750198724546,0.010021085919291673
A_p90_exclude_summer,150,Politecnico,autumn,7,0,0.18294449028163368,0.0,0.008923593875690685,0.01084290360323482
A_p90_exclude_summer,150,Valencia Centro,autumn,7,0,0.006170940456378299,0.0,0.009670352437442931,0.005789224952741021
A_p90_exclude_summer,151,Avda. Francia,autumn,7,0,0.11133921232189953,0.0,0.00828875218054127,0.0064
A_p90_exclude_summer,151,Pista Silla,autumn,7,0,0.022541196084590723,0.0,0.010000000000000002,0.009874870888114702
A_p90_exclude_summer,151,Politecnico,autumn,7,0,0.12679045232977793,0.0,0.008895087262011216,0.010707911010384031
A_p90_exclude_summer,151,Valencia Centro,autumn,7,0,0.0066372863809428025,0.0,0.009485530849144119,0.005372659740686932
A_p90_exclude_summer,151,Viveros,autumn,7,0,0.12681187109366335,0.0,0.009616760612298098,0.008445927764590359
A_p90_exclude_summer,152,Avda. Francia,autumn,7,0,0.08754002401485245,0.0,0.008246315779029735,0.006269295929687567
A_p90_exclude_summer,152,Pista Silla,autumn,7,0,0.020204834534793995,0.0,0.009963451277143294,0.009731832744031773
A_p90_exclude_summer,152,Valencia Centro,autumn,7,0,0.008160286933238944,0.0,0.009305957585066162,0.004999489847974696
A_p90_exclude_summer,152,Viveros,autumn,7,0,0.20077081124153895,0.0,0.009599866877109967,0.008384780977290156
A_p90_exclude_summer,153,Avda. Francia,autumn,7,0,0.12700173516749869,0.0,0.008204204441347356,0.006142555311435559
A_p90_exclude_summer,153,Bulevard Sud,autumn,7,0,0.3785401055871929,0.0,0.009674818597151302,0.006782006920415225
A_p90_exclude_summer,153,Moli del Sol,autumn,7,1,0.3024708797086274,1.0,0.8272720161714509,0.8766412861859518
A_p90_exclude_summer,153,Pista Silla,autumn,7,0,0.03115905558183921,0.0,0.009927102560104536,0.009591880114783718
A_p90_exclude_summer,153,Valencia Centro,autumn,7,0,0.012071174154531721,0.0,0.009131435796460098,0.004663890541344438
A_p90_exclude_summer,153,Viveros,autumn,7,0,0.18926760785964827,0.0,0.009570409768711569,0.008279360441522604
A_p90_exclude_summer,154,Avda. Francia,autumn,7,0,0.19115160593196334,0.0,0.00816241485595602,0.006019619500594531
A_p90_exclude_summer,154,Moli del Sol,autumn,7,0,0.436258839879668,1.0,0.00830112242807735,0.004434417500216561
A_p90_exclude_summer,154,Pista Silla,autumn,7,0,0.04841418804603058,0.0,0.009890952392217026,0.009454924889657624
A_p90_exclude_summer,154,Valencia Centro,autumn,7,0,0.019563227781251028,0.0,0.008961777777777777,0.0043609825560697755
